Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.51     0.00       45     0.00     0.00  sVar::~sVar()
  0.00      2.51     0.00       45     0.00     0.00  quBaseState::isbasestate() const
  0.00      2.51     0.00       44     0.00     0.00  sList<sDef>::sList()
  0.00      2.51     0.00       44     0.00     0.00  sList<sDef>::~sList()
  0.00      2.51     0.00       44     0.00     0.00  sDefList::typecheck(SymTable*, SymTable*)
  0.00      2.51     0.00       44     0.00     0.00  sDefList::~sDefList()
  0.00      2.51     0.00       44     0.00     0.00  sDefList::~sDefList()
  0.00      2.51     0.00       44     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::end() const
  0.00      2.51     0.00       44     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::size() const
  0.00      2.51     0.00       44     0.00     0.00  std::list<sObject*, std::allocator<sObject*> >::begin() const
  0.00      2.51     0.00       44     0.00     0.00  std::iterator_traits<std::_List_const_iterator<sObject*> >::difference_type std::__distance<std::_List_const_iterator<sObject*> >(std::_List_const_iterator<sObject*>, std::_List_const_iterator<sObject*>, std::input_iterator_tag)
  0.00      2.51     0.00       44     0.00     0.00  std::iterator_traits<std::_List_const_iterator<sObject*> >::iterator_category std::__iterator_category<std::_List_const_iterator<sObject*> >(std::_List_const_iterator<sObject*> const&)
  0.00      2.51     0.00       44     0.00     0.00  std::iterator_traits<std::_List_const_iterator<sObject*> >::difference_type std::distance<std::_List_const_iterator<sObject*> >(std::_List_const_iterator<sObject*>, std::_List_const_iterator<sObject*>)
  0.00      2.51     0.00       43     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.51     0.00       42     0.00     0.00  __gnu_cxx::new_allocator<sObject*>::destroy(sObject**)
  0.00      2.51     0.00       42     0.00     0.00  __gnu_cxx::new_allocator<sObject*>::construct(sObject**, sObject* const&)
  0.00      2.51     0.00       42     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<sObject*> >::deallocate(std::_List_node<sObject*>*, unsigned long)
  0.00      2.51     0.00       42     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<sObject*> >::allocate(unsigned long, void const*)
